UID,Player,Tm,MP,PER,Season
1,A.J. Hammons\hammoaj01,DAL,163,8.4,16-17
2,A.J. Price\priceaj01,CLE,87,7.7,14-15
2,A.J. Price\priceaj01,IND,193,17.1,14-15
2,A.J. Price\priceaj01,IND,568,11.5,11-12
2,A.J. Price\priceaj01,IND,795,10.7,10-11
2,A.J. Price\priceaj01,IND,865,14,09-10
2,A.J. Price\priceaj01,MIN,99,9.7,13-14
2,A.J. Price\priceaj01,PHO,44,-1.6,14-15
2,A.J. Price\priceaj01,WAS,1278,12.4,12-13
3,Aaron Brooks\brookaa01,CHI,1108,11.8,15-16
3,Aaron Brooks\brookaa01,CHI,1885,14.4,14-15
3,Aaron Brooks\brookaa01,DEN,841,12.9,13-14
3,Aaron Brooks\brookaa01,HOU,2919,16,09-10
3,Aaron Brooks\brookaa01,HOU,38,5.6,12-13
3,Aaron Brooks\brookaa01,HOU,716,11.9,13-14
3,Aaron Brooks\brookaa01,HOU,811,11.7,10-11
3,Aaron Brooks\brookaa01,IND,894,9.5,16-17
3,Aaron Brooks\brookaa01,MIN,189,9.8,17-18
3,Aaron Brooks\brookaa01,PHO,473,15.6,10-11
3,Aaron Brooks\brookaa01,SAC,959,12.1,12-13
4,Aaron Gordon\gordoaa01,ORL,1863,17,15-16
4,Aaron Gordon\gordoaa01,ORL,1909,16.5,17-18
4,Aaron Gordon\gordoaa01,ORL,2298,14.5,16-17
4,Aaron Gordon\gordoaa01,ORL,2633,15.1,18-19
4,Aaron Gordon\gordoaa01,ORL,797,11.4,14-15
5,Aaron Gray\grayaa01,CHI,50,7,09-10
5,Aaron Gray\grayaa01,NOH,261,18.4,09-10
5,Aaron Gray\grayaa01,NOH,531,11,10-11
5,Aaron Gray\grayaa01,SAC,335,7.9,13-14
5,Aaron Gray\grayaa01,TOR,20,5.7,13-14
5,Aaron Gray\grayaa01,TOR,513,9,12-13
5,Aaron Gray\grayaa01,TOR,813,11.1,11-12
6,Aaron Harrison\harriaa01,CHO,17,-2.2,16-17
6,Aaron Harrison\harriaa01,CHO,93,4.3,15-16
6,Aaron Harrison\harriaa01,DAL,233,5.1,17-18
7,Aaron Holiday\holidaa01,IND,646,11.9,18-19
8,Aaron Jackson\jacksaa01,HOU,35,2.4,17-18
9,Abdel Nader\naderab01,BOS,522,5.1,17-18
9,Abdel Nader\naderab01,OKC,694,8.8,18-19
10,Acie Law\lawac01,CHA,33,7.5,09-10
10,Acie Law\lawac01,CHI,135,15.4,09-10
10,Acie Law\lawac01,GSW,632,11.3,10-11
10,Acie Law\lawac01,GSW,66,21.3,09-10
10,Acie Law\lawac01,MEM,94,0.4,10-11
11,Adam Morrison\morriad01,LAL,241,7.4,09-10
12,Adonis Thomas\thomaad01,ORL,24,5.8,13-14
12,Adonis Thomas\thomaad01,PHI,13,10.1,13-14
13,Adreian Payne\paynead01,ATL,19,2.9,14-15
13,Adreian Payne\paynead01,MIN,135,14.4,16-17
13,Adreian Payne\paynead01,MIN,486,5.6,15-16
13,Adreian Payne\paynead01,MIN,720,7.8,14-15
13,Adreian Payne\paynead01,ORL,43,18.8,17-18
14,Al Harrington\harrial01,DEN,1665,12.3,10-11
14,Al Harrington\harrial01,DEN,1761,15.3,11-12
14,Al Harrington\harrial01,NYK,2195,16.8,09-10
14,Al Harrington\harrial01,ORL,119,10.3,12-13
14,Al Harrington\harrial01,WAS,511,9.7,13-14
15,Al Horford\horfoal01,ATL,2318,21.4,14-15
15,Al Horford\horfoal01,ATL,2631,19.4,15-16
15,Al Horford\horfoal01,ATL,2704,20.7,10-11
15,Al Horford\horfoal01,ATL,2756,19.8,12-13
15,Al Horford\horfoal01,ATL,2845,19.4,09-10
15,Al Horford\horfoal01,ATL,348,19,11-12
15,Al Horford\horfoal01,ATL,958,22,13-14
15,Al Horford\horfoal01,BOS,1973,20.2,18-19
15,Al Horford\horfoal01,BOS,2193,17.7,16-17
15,Al Horford\horfoal01,BOS,2277,17.6,17-18
16,Al Jefferson\jeffeal01,CHA,2553,22.7,13-14
16,Al Jefferson\jeffeal01,CHO,1096,18.2,15-16
16,Al Jefferson\jeffeal01,CHO,1992,19.7,14-15
16,Al Jefferson\jeffeal01,IND,484,20.2,17-18
16,Al Jefferson\jeffeal01,IND,931,18.9,16-17
16,Al Jefferson\jeffeal01,MIN,2463,19,09-10
16,Al Jefferson\jeffeal01,UTA,2075,22.8,11-12
16,Al Jefferson\jeffeal01,UTA,2578,20.9,12-13
16,Al Jefferson\jeffeal01,UTA,2940,20.1,10-11
17,Al Thornton\thornal01,GSW,314,11.3,10-11
17,Al Thornton\thornal01,LAC,1405,11.6,09-10
17,Al Thornton\thornal01,WAS,1069,11.8,10-11
17,Al Thornton\thornal01,WAS,674,12.1,09-10
18,Alan Anderson\anderal01,BRK,1744,10.6,14-15
18,Alan Anderson\anderal01,BRK,1773,9.5,13-14
18,Alan Anderson\anderal01,LAC,308,5,16-17
18,Alan Anderson\anderal01,TOR,1495,12.6,12-13
18,Alan Anderson\anderal01,TOR,461,8.7,11-12
18,Alan Anderson\anderal01,WAS,192,9.2,15-16
19,Alan Williams\willial03,BRK,26,32.9,18-19
19,Alan Williams\willial03,PHO,68,21.1,15-16
19,Alan Williams\willial03,PHO,70,9.3,17-18
19,Alan Williams\willial03,PHO,708,19.5,16-17
20,Alando Tucker\tuckeal02,MIN,25,6.9,09-10
20,Alando Tucker\tuckeal02,PHO,71,15.7,09-10
21,Alec Burks\burksal01,CLE,979,13.2,18-19
21,Alec Burks\burksal01,SAC,127,9,18-19
21,Alec Burks\burksal01,UTA,1059,13.1,17-18
21,Alec Burks\burksal01,UTA,1137,11.5,12-13
21,Alec Burks\burksal01,UTA,2193,15.8,13-14
21,Alec Burks\burksal01,UTA,269,12.4,18-19
21,Alec Burks\burksal01,UTA,653,11.6,16-17
21,Alec Burks\burksal01,UTA,797,14.3,15-16
21,Alec Burks\burksal01,UTA,899,13,14-15
21,Alec Burks\burksal01,UTA,939,14,11-12
22,Alec Peters\peteral01,PHO,225,10.7,17-18
23,Álex Abrines\abrinal01,OKC,1055,10.1,16-17
23,Álex Abrines\abrinal01,OKC,1134,9,17-18
23,Álex Abrines\abrinal01,OKC,588,6.3,18-19
24,Alex Caruso\carusal01,LAL,531,13.9,18-19
24,Alex Caruso\carusal01,LAL,562,8.7,17-18
25,Alex Kirk\kirkal01,CLE,14,8.5,14-15
26,Alex Len\lenal01,ATL,1544,17.2,18-19
26,Alex Len\lenal01,PHO,1395,19.4,17-18
26,Alex Len\lenal01,PHO,1518,13.5,14-15
26,Alex Len\lenal01,PHO,1560,15,16-17
26,Alex Len\lenal01,PHO,1821,12.4,15-16
26,Alex Len\lenal01,PHO,362,7.3,13-14
27,Alex Poythress\poythal01,ATL,305,12.2,18-19
27,Alex Poythress\poythal01,IND,104,7.8,17-18
27,Alex Poythress\poythal01,PHI,157,13.2,16-17
28,Alex Stepheson\stephal01,LAC,12,8.9,15-16
28,Alex Stepheson\stephal01,MEM,61,16,15-16
29,Alexey Shved\shvedal01,HOU,59,9.3,14-15
29,Alexey Shved\shvedal01,MIN,1840,11,12-13
29,Alexey Shved\shvedal01,MIN,664,10.2,13-14
29,Alexey Shved\shvedal01,NYK,423,20.5,14-15
29,Alexey Shved\shvedal01,PHI,285,20,14-15
30,Alexis Ajinça\ajincal01,CHA,30,6.3,09-10
30,Alexis Ajinça\ajincal01,DAL,75,12.8,10-11
30,Alexis Ajinça\ajincal01,NOP,584,12.9,16-17
30,Alexis Ajinça\ajincal01,NOP,861,13.8,15-16
30,Alexis Ajinça\ajincal01,NOP,951,14.6,13-14
30,Alexis Ajinça\ajincal01,NOP,957,19.9,14-15
30,Alexis Ajinça\ajincal01,TOR,265,12,10-11
31,Al-Farouq Aminu\aminual01,DAL,1366,14.4,14-15
31,Al-Farouq Aminu\aminual01,LAC,1452,9.6,10-11
31,Al-Farouq Aminu\aminual01,NOH,1477,10.6,11-12
31,Al-Farouq Aminu\aminual01,NOH,2066,13.7,12-13
31,Al-Farouq Aminu\aminual01,NOP,2045,13.2,13-14
31,Al-Farouq Aminu\aminual01,POR,1773,11.3,16-17
31,Al-Farouq Aminu\aminual01,POR,2072,12,17-18
31,Al-Farouq Aminu\aminual01,POR,2292,13.2,18-19
31,Al-Farouq Aminu\aminual01,POR,2341,12.7,15-16
32,Alfonzo McKinnie\mckinal01,GSW,1003,11.2,18-19
32,Alfonzo McKinnie\mckinal01,TOR,53,10.1,17-18
33,Alize Johnson\johnsal02,IND,64,6.3,18-19
34,Allen Crabbe\crabbal01,BRK,1133,7.7,18-19
34,Allen Crabbe\crabbal01,BRK,2197,12.3,17-18
34,Allen Crabbe\crabbal01,POR,100,7.7,13-14
34,Allen Crabbe\crabbal01,POR,2105,12.2,15-16
34,Allen Crabbe\crabbal01,POR,2254,11.6,16-17
34,Allen Crabbe\crabbal01,POR,683,8.7,14-15
35,Allen Iverson*\iversal01,MEM,67,16.9,09-10
35,Allen Iverson*\iversal01,PHI,798,13.1,09-10
36,Allonzo Trier\trieral01,NYK,1459,12.2,18-19
37,Alonzo Gee\geeal01,CLE,1020,8.6,13-14
37,Alonzo Gee\geeal01,CLE,1827,13.2,11-12
37,Alonzo Gee\geeal01,CLE,2541,10.5,12-13
37,Alonzo Gee\geeal01,CLE,973,11.1,10-11
37,Alonzo Gee\geeal01,DEN,511,14,14-15
37,Alonzo Gee\geeal01,DEN,89,3.1,16-17
37,Alonzo Gee\geeal01,NOP,1632,8.4,15-16
37,Alonzo Gee\geeal01,POR,151,9.7,14-15
37,Alonzo Gee\geeal01,SAS,18,-2.1,10-11
37,Alonzo Gee\geeal01,WAS,127,9.9,10-11
37,Alonzo Gee\geeal01,WAS,182,16.2,09-10
38,Amar'e Stoudemire\stoudam01,DAL,380,22.3,14-15
38,Amar'e Stoudemire\stoudam01,MIA,762,17.3,15-16
38,Amar'e Stoudemire\stoudam01,NYK,1466,18.8,13-14
38,Amar'e Stoudemire\stoudam01,NYK,1543,17.7,11-12
38,Amar'e Stoudemire\stoudam01,NYK,2870,22.7,10-11
38,Amar'e Stoudemire\stoudam01,NYK,682,22.1,12-13
38,Amar'e Stoudemire\stoudam01,NYK,865,19.5,14-15
38,Amar'e Stoudemire\stoudam01,PHO,2838,22.6,09-10
39,Amile Jefferson\jeffeam01,ORL,68,21.1,18-19
40,Amir Johnson\johnsam01,BOS,1608,15,16-17
40,Amir Johnson\johnsam01,BOS,1800,16,15-16
40,Amir Johnson\johnsam01,PHI,1171,14.9,17-18
40,Amir Johnson\johnsam01,PHI,529,13.1,18-19
40,Amir Johnson\johnsam01,TOR,1453,16.7,09-10
40,Amir Johnson\johnsam01,TOR,1553,14.4,11-12
40,Amir Johnson\johnsam01,TOR,1853,17.6,10-11
40,Amir Johnson\johnsam01,TOR,1979,15.4,14-15
40,Amir Johnson\johnsam01,TOR,2214,15.4,13-14
40,Amir Johnson\johnsam01,TOR,2325,17.3,12-13
41,Anderson Varejão\varejan01,CLE,1800,17,13-14
41,Anderson Varejão\varejan01,CLE,2166,15.8,09-10
41,Anderson Varejão\varejan01,CLE,310,11.2,15-16
41,Anderson Varejão\varejan01,CLE,636,17.7,14-15
41,Anderson Varejão\varejan01,CLE,785,18.9,11-12
