season,team,elites,league_position,talent_position
'10-11',ATL,4,13,1
'10-11',MIA,3,3,2
'10-11',LAL,3,5,3
'10-11',NYK,3,15,4
'10-11',NOH,3,12,5
'10-11',DEN,3,9,6
'10-11',SAS,2,2,7
'10-11',ORL,2,8,8
'10-11',MIL,2,21,9
'10-11',MEM,2,11,10
'10-11',CHI,2,1,11
'10-11',UTA,2,18,12
'10-11',BOS,2,6,13
'10-11',OKC,1,7,14
'10-11',DAL,1,4,15
'10-11',GSW,1,20,16
'10-11',PHO,1,17,17
'10-11',POR,1,10,18
'10-11',MIN,1,30,19
'10-11',NJN,1,25,20
'10-11',IND,1,19,21
'10-11',CHA,1,22,22
'10-11',SAC,1,26,23
'10-11',WAS,1,27,24
'10-11',DET,0,24,25
'10-11',HOU,0,14,26
'10-11',PHI,0,16,27
'10-11',LAC,0,23,28
'10-11',CLE,0,29,29
'10-11',TOR,0,28,30
'11-12',LAL,4,6,1
'11-12',MIA,3,4,2
'11-12',SAS,3,2,3
'11-12',CHI,3,1,4
'11-12',OKC,2,3,5
'11-12',LAC,2,9,6
'11-12',ORL,2,12,7
'11-12',NYK,2,14,8
'11-12',DAL,2,13,9
'11-12',BOS,2,10,10
'11-12',UTA,2,15,11
'11-12',PHO,2,18,12
'11-12',MIN,1,21,13
'11-12',MEM,1,7,14
'11-12',NJN,1,25,15
'11-12',POR,1,20,16
'11-12',HOU,1,17,17
'11-12',IND,1,5,18
'11-12',DEN,1,11,19
'11-12',GSW,1,23,20
'11-12',ATL,1,8,21
'11-12',CLE,1,27,22
'11-12',PHI,1,16,23
'11-12',TOR,0,24,24
'11-12',MIL,0,19,25
'11-12',SAC,0,26,26
'11-12',DET,0,22,27
'11-12',NOH,0,28,28
'11-12',WAS,0,29,29
'11-12',CHA,0,30,30
'12-13',SAS,4,3,1
'12-13',LAL,4,13,2
'12-13',MIA,2,1,3
'12-13',LAC,2,5,4
'12-13',OKC,2,2,5
'12-13',MIN,2,22,6
'12-13',UTA,2,15,7
'12-13',DAL,2,17,8
'12-13',DEN,2,4,9
'12-13',ATL,2,14,10
'12-13',HOU,2,12,11
'12-13',GSW,2,10,12
'12-13',BOS,2,16,13
'12-13',CHI,2,11,14
'12-13',POR,1,21,15
'12-13',DET,1,23,16
'12-13',SAC,1,25,17
'12-13',CLE,1,28,18
'12-13',PHO,1,27,19
'12-13',NOH,1,26,20
'12-13',NYK,1,7,21
'12-13',MIL,1,18,22
'12-13',BRK,1,8,23
'12-13',MEM,0,6,24
'12-13',PHI,0,19,25
