season,team,league_position,elites,non-elites,missing,excluded,talent_position,elite_collective_talent,non-elite_collective_talent
'10-11',ATL,13,4,8,1,4,1,78.1,91.8
'10-11',MIA,3,3,10,0,4,2,84.1,116.40000000000002
'10-11',LAL,5,3,6,0,7,3,65.0,74.88823529411765
'10-11',NYK,15,3,6,2,9,4,65.0,86.10000000000001
'10-11',NOH,12,3,7,2,7,5,61.5228432563791,99.5
'10-11',DEN,9,3,9,1,6,6,61.3,131.29999999999998
'10-11',SAS,2,2,6,2,10,7,47.2,89.0
'10-11',ORL,8,2,10,0,5,8,42.7,149.7
'10-11',MIL,21,2,10,1,4,9,41.0,134.84385920841305
'10-11',MEM,11,2,6,3,8,10,40.5,83.0
'10-11',CHI,1,2,8,1,4,11,39.900000000000006,105.89999999999999
'10-11',UTA,18,2,6,3,6,12,39.6,83.1
'10-11',BOS,6,2,8,2,9,13,38.5,117.5
'10-11',OKC,7,1,9,0,8,14,26.2,116.5
'10-11',DAL,4,1,9,1,7,15,22.9,119.3024552618148
'10-11',GSW,20,1,7,2,7,16,22.2,98.89999999999999
'10-11',PHO,17,1,11,1,6,17,21.6,163.43423249839435
'10-11',POR,10,1,8,1,8,18,21.3,129.49662921348315
'10-11',MIN,30,1,9,2,5,19,20.7,117.39999999999999
'10-11',NJN,25,1,6,3,12,20,20.1,80.2
'10-11',IND,19,1,11,2,1,21,19.8,141.60000000000002
'10-11',CHA,22,1,8,3,7,22,19.6,111.36655737704919
'10-11',SAC,26,1,9,2,4,23,18.922843256379103,131.2
'10-11',WAS,27,1,8,5,9,24,18.7,107.16209716209717
'10-11',DET,24,0,10,2,1,25,0,145.1
'10-11',HOU,14,0,9,2,9,26,0,128.35260257195347
'10-11',PHI,16,0,8,2,5,27,0,120.49999999999999
'10-11',LAC,23,0,9,3,5,28,0,129.7
'10-11',CLE,29,0,10,4,5,29,0,132.6303408146301
'10-11',TOR,28,0,9,4,9,30,0,124.60000000000001
'11-12',LAL,6,4,5,1,7,1,87.3,58.2
'11-12',MIA,4,3,5,2,6,2,72.3,50.760589473684206
'11-12',SAS,2,3,6,3,9,3,63.99999999999999,86.7
'11-12',CHI,1,3,7,1,3,4,61.099999999999994,96.99999999999999
'11-12',OKC,3,2,6,2,6,5,47.2,84.00000000000001
'11-12',LAC,9,2,8,0,8,6,45.599999999999994,114.02459542694443
'11-12',ORL,12,2,7,1,6,7,45.1,83.10578167369962
'11-12',NYK,14,2,7,5,3,8,44.46822973464195,102.1034574468085
'11-12',DAL,13,2,5,4,5,9,42.8,73.8474890297416
'11-12',BOS,10,2,5,4,6,10,40.3,71.5
'11-12',UTA,15,2,6,4,3,11,39.900000000000006,73.25323868677907
'11-12',PHO,18,2,8,2,1,12,39.6,103.1
